deployment_name,archetype,platform,memory_mb,image_size,block_index,invocation_frequency,traffic_cv,duration_tier,block_start_utc,total_requests,error_count,error_rate_pct,p50_latency_ms,p95_latency_ms,p99_latency_ms,mean_latency_ms,throughput_rps,image_size_mb,state_management,cold_start_rate_pct,cold_start_duration_ms,alb_lcu_cost_usd,estimated_cost_usd,invocation_frequency_numeric,duration_tier_numeric,log_invocations,sustained_load,arch_enterprise-microservice,arch_event-driven-api,arch_ml-inference,platform_is_lambda
svc-ml-inference-2gb-slim-serverless,ml-inference,lambda,2048,slim,20,50k,0.5,medium,2026-05-10 08:43:24.493491+00:00,3072,0,0.0,105.37,118.4,130.44,107.84,0.5689,50,0,0.0326,4174.54,0.0,0.011657,50000,2000,10.819778284410283,100.0,0,0,1,1
svc-event-driven-api-2gb-standard-container,event-driven-api,fargate,2048,standard,20,50k,0.5,medium,2026-05-10 08:50:36.512061+00:00,3159,0,0.0,37.65,45.38,58.03,38.16,0.585,250,0,0.0,0.0,0.00012121,0.148231,50000,2000,10.819778284410283,100.0,0,1,0,0
svc-ml-inference-2gb-standard-serverless,ml-inference,lambda,2048,standard,20,50k,0.5,medium,2026-05-10 09:16:05.019670+00:00,3129,0,0.0,106.73,120.38,132.47,109.97,0.5794,250,0,0.032,4312.35,0.0,0.012096,50000,2000,10.819778284410283,100.0,0,0,1,1
svc-batch-transform-512mb-standard-container,batch-transform,fargate,512,standard,21,50k,0.5,large,2026-05-10 09:17:00.978480+00:00,2418,0,0.0,2208.03,2314.28,2784.41,2234.17,0.4478,250,0,0.0,0.0,0.0001193,0.037147,50000,5000,10.819778284410283,250.0,0,0,0,0
svc-enterprise-microservice-2gb-standard-serverless,enterprise-microservice,lambda,2048,standard,21,50k,0.5,large,2026-05-10 09:20:11.951604+00:00,3157,0,0.0,34.86,43.89,50.58,36.98,0.5846,250,1,0.0317,430.13,0.0,0.004523,50000,5000,10.819778284410283,250.0,1,0,0,1
svc-event-driven-api-512mb-standard-serverless,event-driven-api,lambda,512,standard,21,50k,0.5,large,2026-05-10 09:27:25.806680+00:00,3135,0,0.0,61.73,71.67,86.25,63.63,0.5806,250,0,0.0319,661.17,0.0,0.002289,50000,5000,10.819778284410283,250.0,0,1,0,1
svc-ml-inference-512mb-slim-container,ml-inference,fargate,512,slim,21,50k,0.5,large,2026-05-10 09:29:09.279525+00:00,2545,0,0.0,2075.04,2432.15,3214.84,2121.84,0.4713,50,0,0.0,0.0,0.00012312,0.037151,50000,5000,10.819778284410283,250.0,0,0,1,0
svc-batch-transform-2gb-standard-serverless,batch-transform,lambda,2048,standard,21,50k,0.5,large,2026-05-10 09:30:29.657570+00:00,3139,0,0.0,69.59,81.02,94.37,70.89,0.5813,250,0,0.0319,1310.96,0.0,0.008045,50000,5000,10.819778284410283,250.0,0,0,0,1
svc-batch-transform-2gb-slim-serverless,batch-transform,lambda,2048,slim,21,50k,0.5,large,2026-05-10 09:31:36.341660+00:00,3149,0,0.0,70.25,82.17,98.33,72.06,0.5831,50,0,0.0,0.0,0.0,0.008194,50000,5000,10.819778284410283,250.0,0,0,0,1
svc-event-driven-api-2gb-slim-container,event-driven-api,fargate,2048,slim,21,50k,0.5,large,2026-05-10 09:32:10.344959+00:00,3115,0,0.0,68.9,77.01,88.35,69.6,0.5769,50,0,0.0,0.0,0.00012477,0.148235,50000,5000,10.819778284410283,250.0,0,1,0,0
svc-batch-transform-512mb-slim-container,batch-transform,fargate,512,slim,21,50k,0.5,large,2026-05-10 09:32:21.531707+00:00,2324,0,0.0,2296.89,2506.86,3068.4,2324.09,0.4304,50,0,0.0,0.0,0.00012477,0.037152,50000,5000,10.819778284410283,250.0,0,0,0,0
svc-batch-transform-512mb-standard-serverless,batch-transform,lambda,512,standard,21,50k,0.5,large,2026-05-10 09:33:08.263629+00:00,3092,0,0.0,79.83,95.6,111.65,81.26,0.5726,250,0,0.0323,1408.14,0.0,0.002712,50000,5000,10.819778284410283,250.0,0,0,0,1
svc-enterprise-microservice-512mb-slim-serverless,enterprise-microservice,lambda,512,slim,21,50k,0.5,large,2026-05-10 09:35:31.129364+00:00,3121,0,0.0,34.94,43.85,50.74,36.23,0.578,50,1,0.0,0.0,0.0,0.001566,50000,5000,10.819778284410283,250.0,1,0,0,1
svc-batch-transform-2gb-standard-container,batch-transform,fargate,2048,standard,21,50k,0.5,large,2026-05-10 09:36:41.317948+00:00,3105,0,0.0,1301.23,1337.36,1421.91,1309.43,0.575,250,0,0.0,0.0,0.00012599,0.148236,50000,5000,10.819778284410283,250.0,0,0,0,0
svc-event-driven-api-512mb-slim-serverless,event-driven-api,lambda,512,slim,21,50k,0.5,large,2026-05-10 09:38:59.433058+00:00,3140,0,0.0,61.79,72.14,89.98,63.73,0.5815,50,0,0.0318,648.89,0.0,0.002296,50000,5000,10.819778284410283,250.0,0,1,0,1
svc-ml-inference-512mb-standard-serverless,ml-inference,lambda,512,standard,21,50k,0.5,large,2026-05-10 09:41:15.085983+00:00,3083,0,0.0,310.64,344.05,368.15,313.04,0.5709,250,0,0.0324,4834.63,0.0,0.008659,50000,5000,10.819778284410283,250.0,0,0,1,1
svc-event-driven-api-512mb-standard-container,event-driven-api,fargate,512,standard,21,50k,0.5,large,2026-05-10 09:41:27.784491+00:00,3132,0,0.0,120.47,159.72,240.55,125.37,0.58,250,0,0.0,0.0,0.00012724,0.037155,50000,5000,10.819778284410283,250.0,0,1,0,0
